x,y,z
-2.575567640916618523e-02,1.799906291076558773e+01,2.000000000000000111e-01
-2.575567640916618523e-02,8.976201705679386578e+00,2.000000000000000111e-01
-2.575567640916618523e-02,-4.665949940681457520e-02,2.000000000000000111e-01
4.095806269374543396e-01,1.799906291076558773e+01,2.000000000000000111e-01
9.188862744427634510e+00,1.799906291076558773e+01,2.000000000000000111e-01
1.796814486191781413e+01,1.799906291076558773e+01,2.000000000000000111e-01
-6.203370168805122375e-02,-1.042310902494228420e-02,2.000000000000000111e-01
8.971194592754324404e+00,-1.042310902494228420e-02,2.000000000000000111e-01
1.800442288719670003e+01,-1.042310902494228420e-02,2.000000000000000111e-01
1.052234886971885330e-02,-4.665949940681457520e-02,2.000000000000000111e-01
8.971194592754324404e+00,-4.665949940681457520e-02,2.000000000000000111e-01
1.793186683663893177e+01,-4.665949940681457520e-02,2.000000000000000111e-01
1.796814486191781413e+01,1.796282652038371452e+01,2.000000000000000111e-01
1.796814486191781413e+01,8.976201705679386578e+00,2.000000000000000111e-01
1.796814486191781413e+01,2.581328135693000680e-02,2.000000000000000111e-01
1.052234886971885330e-02,1.122285790935546856e+01,2.000000000000000111e-01
1.052234886971885330e-02,5.606217400165263598e+00,2.000000000000000111e-01
1.052234886971885330e-02,2.581328135693000680e-02,2.000000000000000111e-01
-6.203370168805122375e-02,1.796282652038371452e+01,2.000000000000000111e-01
8.971194592754324404e+00,1.796282652038371452e+01,2.000000000000000111e-01
1.800442288719670003e+01,1.796282652038371452e+01,2.000000000000000111e-01
1.800442288719670003e+01,1.397682357837776301e+01,2.000000000000000111e-01
1.800442288719670003e+01,6.983200234676410822e+00,2.000000000000000111e-01
1.800442288719670003e+01,2.581328135693000680e-02,2.000000000000000111e-01
-6.203370168805122375e-02,1.792659013000184487e+01,2.000000000000000111e-01
-6.203370168805122375e-02,1.220124044966602206e+01,2.000000000000000111e-01
-6.203370168805122375e-02,6.512127159712070679e+00,2.000000000000000111e-01
1.793186683663893177e+01,1.792659013000184487e+01,2.000000000000000111e-01
1.793186683663893177e+01,1.412176913990525229e+01,2.000000000000000111e-01
1.793186683663893177e+01,1.035318454019053469e+01,2.000000000000000111e-01
2.840208320622752414e+00,1.466531499563333796e+01,2.000000000000000111e-01
4.363885382335924490e+00,1.466531499563333796e+01,2.000000000000000111e-01
5.887562444049096122e+00,1.466531499563333796e+01,2.000000000000000111e-01
5.742450342933556051e+00,4.446652907945350286e+00,2.000000000000000111e-01
6.721957025463451529e+00,4.446652907945350286e+00,2.000000000000000111e-01
7.737741733272232914e+00,4.482889298327221717e+00,2.000000000000000111e-01
1.107532005892965721e+01,4.627834859854710992e+00,2.000000000000000111e-01
1.223621686785397955e+01,4.664071250236583310e+00,2.000000000000000111e-01
1.339711367677830012e+01,4.736544031000327948e+00,2.000000000000000111e-01
1.024092547751530091e+01,1.470155138601521116e+01,2.000000000000000111e-01
1.176460253922847343e+01,1.470155138601521116e+01,2.000000000000000111e-01
1.328827960094164418e+01,1.470155138601521116e+01,2.000000000000000111e-01
4.835499710961429720e+00,3.468270367634798124e+00,2.000000000000000111e-01
6.322898747395717223e+00,3.468270367634798124e+00,2.000000000000000111e-01
7.810297783830002949e+00,3.468270367634798124e+00,2.000000000000000111e-01
3.747158952594878301e+00,7.852873603841345584e+00,2.000000000000000111e-01
3.855993028431533354e+00,9.338565609498109765e+00,2.000000000000000111e-01
