x,y,z
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
2.490000000000000000e+02,1.000000000000000000e+00,2.000000000000000111e-01
4.990000000000000000e+02,1.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,4.980000000000000000e+02,2.000000000000000111e-01
2.490000000000000000e+02,4.980000000000000000e+02,2.000000000000000111e-01
4.980000000000000000e+02,4.980000000000000000e+02,2.000000000000000111e-01
3.370000000000000000e+02,3.200000000000000000e+02,2.000000000000000111e-01
3.620000000000000000e+02,2.860000000000000000e+02,2.000000000000000111e-01
3.880000000000000000e+02,2.530000000000000000e+02,2.000000000000000111e-01
2.850000000000000000e+02,4.070000000000000000e+02,2.000000000000000111e-01
3.270000000000000000e+02,4.070000000000000000e+02,2.000000000000000111e-01
3.690000000000000000e+02,4.070000000000000000e+02,2.000000000000000111e-01
1.330000000000000000e+02,1.240000000000000000e+02,2.000000000000000111e-01
1.750000000000000000e+02,1.240000000000000000e+02,2.000000000000000111e-01
2.180000000000000000e+02,1.240000000000000000e+02,2.000000000000000111e-01
8.400000000000000000e+01,3.800000000000000000e+02,2.000000000000000111e-01
1.260000000000000000e+02,3.800000000000000000e+02,2.000000000000000111e-01
1.690000000000000000e+02,3.800000000000000000e+02,2.000000000000000111e-01
2.990000000000000000e+02,1.300000000000000000e+02,2.000000000000000111e-01
3.410000000000000000e+02,1.300000000000000000e+02,2.000000000000000111e-01
3.840000000000000000e+02,1.300000000000000000e+02,2.000000000000000111e-01
8.900000000000000000e+01,4.080000000000000000e+02,2.000000000000000111e-01
1.210000000000000000e+02,4.070000000000000000e+02,2.000000000000000111e-01
1.530000000000000000e+02,4.060000000000000000e+02,2.000000000000000111e-01
3.580000000000000000e+02,3.350000000000000000e+02,2.000000000000000111e-01
3.840000000000000000e+02,3.020000000000000000e+02,2.000000000000000111e-01
4.100000000000000000e+02,2.700000000000000000e+02,2.000000000000000111e-01
2.850000000000000000e+02,4.350000000000000000e+02,2.000000000000000111e-01
3.270000000000000000e+02,4.350000000000000000e+02,2.000000000000000111e-01
3.690000000000000000e+02,4.350000000000000000e+02,2.000000000000000111e-01
1.340000000000000000e+02,9.700000000000000000e+01,2.000000000000000111e-01
1.760000000000000000e+02,9.700000000000000000e+01,2.000000000000000111e-01
2.180000000000000000e+02,9.700000000000000000e+01,2.000000000000000111e-01
2.990000000000000000e+02,1.030000000000000000e+02,2.000000000000000111e-01
3.420000000000000000e+02,1.030000000000000000e+02,2.000000000000000111e-01
3.860000000000000000e+02,1.030000000000000000e+02,2.000000000000000111e-01
1.060000000000000000e+02,2.180000000000000000e+02,2.000000000000000111e-01
1.090000000000000000e+02,2.590000000000000000e+02,2.000000000000000111e-01
1.120000000000000000e+02,3.010000000000000000e+02,2.000000000000000111e-01
7.900000000000000000e+01,2.190000000000000000e+02,2.000000000000000111e-01
8.100000000000000000e+01,2.610000000000000000e+02,2.000000000000000111e-01
8.400000000000000000e+01,3.030000000000000000e+02,2.000000000000000111e-01
